School,School County,LC sits 2021,2021 100% sits,2020 100% sits,DCU,Maynooth University,NUIG,Trinity,UCC,UCD,University of Limerick,RCSI,TU Dublin,MTU,TUS,Dundalk  IT,Galway-Mayo  IT,Dun Laoghaire  IADT,IT  Carlow,IT  Sligo,Letterkenny  IT,Waterford  IT,Marino Institute of Education,Mary Immaculate College,National College of Art & Design,"St Angela's College, Sligo",National College of Ireland,"St Patrick's, Carlow",DBS,Griffith College,"Queen's University, Belfast",University of Ulster
"Our Lady's Secondary School, Belmullet",Co. Mayo,22,77%,83%,1,1,4,0,0,2,0,0,0,0,0,0,5,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0
"St Brendan's College, Belmullet",Co. Mayo,70,77%,83%,1,1,8,0,0,4,8,2,3,0,7,0,8,0,0,6,2,0,1,3,0,0,0,0,0,0,0,0
"Davitt College, Castlebar",Co. Mayo,78,77%,75%,2,4,5,1,3,0,10,0,0,0,3,0,11,0,1,13,0,3,0,3,0,0,0,0,0,0,0,1
"St Colman's College, Claremorris",Co. Mayo,54,76%,59%,2,2,6,1,0,2,14,0,1,0,2,0,9,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"Scoil Muire Agus Pádraig, Swinford",Co. Mayo,41,76%,88%,1,2,4,3,0,1,7,0,0,0,4,0,5,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0
"Rice College, Westport",Co. Mayo,70,74%,76%,2,3,11,3,0,3,9,0,1,0,1,0,11,0,0,3,1,0,1,3,0,0,0,0,0,0,0,0
"Coláiste Pobail Acla, Achill",Co. Mayo,58,69%,77%,4,0,6,0,0,1,9,0,0,4,3,0,7,1,0,2,0,0,0,2,0,0,0,0,0,0,0,1
"Sancta Maria College, Louisburgh",Co. Mayo,55,67%,85%,2,0,7,4,1,2,4,0,1,3,4,1,6,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"Coláiste Muire, Tourmakeady",Co. Mayo,37,57%,82%,0,1,11,0,1,0,2,0,0,0,1,0,0,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0
"St Patrick's College, Killala",Co. Mayo,25,52%,82%,0,0,3,0,0,0,1,0,0,0,1,0,2,0,1,1,1,0,0,2,0,1,0,0,0,0,0,0
"St Tiernan's College, Crossmolina",Co. Mayo,35,49%,65%,0,0,1,0,0,1,2,0,0,0,2,0,6,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0
"Moyne College, Ballina",Co. Mayo,22,45%,37%,1,0,0,0,0,0,1,0,1,1,3,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
Dunshaughlin Community College,Co. Meath,122,93%,77%,26,28,2,3,1,10,2,0,29,0,3,4,2,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0
"Scoil Mhuire, Trim",Co. Meath,138,90%,86%,17,33,11,10,4,13,4,1,9,0,4,3,2,2,1,1,0,5,2,0,0,0,0,0,0,0,1,1
Ratoath College,Co. Meath,166,88%,80%,32,32,1,13,0,6,1,0,44,2,1,3,1,1,2,1,0,0,1,0,1,1,1,0,1,1,0,0
"St Peter's College, Dunboyne",Co. Meath,192,85%,81%,42,38,0,10,0,8,2,0,47,0,1,1,1,0,1,0,0,2,4,0,3,1,1,0,1,0,0,0
"Loreto Secondary School, Navan",Co. Meath,152,84%,96%,35,26,6,13,0,12,0,0,14,0,4,3,0,2,0,0,0,0,3,1,5,1,1,0,1,0,0,0
"Eureka Secondary School, Kells",Co. Meath,127,82%,91%,20,14,8,9,1,14,1,0,14,1,3,3,3,1,1,1,1,0,3,1,1,3,0,0,1,0,0,0
"O'Carolan College, Nobber",Co. Meath,91,77%,75%,14,6,8,1,0,8,1,0,9,2,1,12,0,1,1,1,0,0,0,0,0,2,2,0,1,0,0,0
"St Oliver's Post-Primary School, Oldcastle",Co. Meath,83,75%,78%,9,12,7,2,2,1,0,0,11,0,2,4,4,0,1,2,0,3,1,0,0,0,0,0,1,0,0,0
"Coláiste Pobail Ráth Chairn, Rath Cairn",Co. Meath,22,73%,79%,5,4,0,1,0,1,0,0,2,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"St Patrick's Classical School, Navan",Co. Meath,167,72%,80%,28,25,3,8,0,11,0,1,26,1,1,8,2,2,1,1,0,0,0,0,1,0,2,0,0,0,0,0
"Gormanston College, Gormanston",Co. Meath,87,68%,69%,13,6,0,7,1,3,0,0,19,0,0,5,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0
"De Lacy College, Ashbourne",Co. Meath,79,67%,32%,15,16,0,2,0,3,0,0,10,0,0,4,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
Ashbourne Community School,Co. Meath,184,66%,80%,25,23,3,13,1,14,0,0,30,0,0,3,0,1,0,0,0,1,0,0,0,0,5,0,2,0,0,0
